word	lemma	pos	freq
the	the	DT	1081168
of	of	IN	539793
and	and	CC	466737
to	to	TO	448519
a	a	DT	406057
in	in	IN	360853
is	be	VBZ	192975
for	for	IN	180971
i	i	PRP	177802
it	it	PRP	155671
with	with	IN	133746
that	that	IN	130759
was	be	VBD	126222
on	on	IN	121092
's	's	POS	103837
as	as	IN	98598
by	by	IN	94409
be	be	VB	90502
are	be	VBP	89222
at	at	IN	86978
he	he	PRP	82223
but	but	CC	81040
from	from	IN	80193
this	this	DT	79667
not	not	RB	78958
you	you	PRP	73240
or	or	CC	72434
an	an	DT	67104
n't	n't	RB	61850
were	be	VBD	60714
they	they	PRP	58234
his	his	PRP$	56531
's	be	VBZ	56517
we	we	PRP	54947
that	that	WDT	52175
has	have	VBZ	52024
that	that	DT	51493
have	have	VBP	50959
about	about	IN	43353
who	who	WP	41563
which	which	WDT	40507
if	if	IN	40357
all	all	DT	39804
would	would	MD	39277
their	their	PRP$	38571
said	say	VBD	38249
had	have	VBD	36438
when	when	WRB	35830
can	can	MD	35765
my	my	PRP$	35676
will	will	MD	34529
been	be	VBN	34517
than	than	IN	33609
what	what	WP	33324
do	do	VBP	32224
there	there	EX	31949
she	she	PRP	31229
other	other	JJ	31045
have	have	VB	30320
its	its	PRP$	29992
also	also	RB	29940
just	just	RB	29237
no	no	DT	27963
some	some	DT	27388
these	these	DT	26535
me	me	PRP	26490
so	so	RB	26377
like	like	IN	26188
did	do	VBD	24810
her	her	PRP$	24455
into	into	IN	24031
time	time	NN	23747
because	because	IN	23724
more	more	JJR	23621
could	could	MD	23364
out	out	IN	23199
only	only	RB	22875
people	people	NNS	22446
after	after	IN	22042
them	them	PRP	21825
now	now	RB	21085
s	s	VBZ	20111
him	him	PRP	19615
more	more	RBR	19092
'm	be	VBP	19080
how	how	WRB	18944
even	even	RB	18902
may	may	MD	18819
over	over	IN	18043
your	your	PRP$	18009
then	then	RB	18009
our	our	PRP$	17892
new	new	JJ	17574
any	any	DT	16983
such	such	JJ	16973
up	up	RP	16886
does	do	VBZ	16818
many	many	JJ	16603
where	where	WRB	16455
see	see	VB	16120
first	first	JJ	16082
should	should	MD	15878
years	year	NNS	15857
well	well	RB	15844
new	new	NNP	15704
between	between	IN	15616
here	here	RB	15483
those	those	DT	15394
way	way	NN	15180
both	both	DT	14612
each	each	DT	14574
get	get	VB	14145
as	as	RB	14126
last	last	JJ	14085
year	year	NN	14078
good	good	JJ	14034
s	s	NNP	13955
think	think	VBP	13852
still	still	RB	13659
cells	cell	NNS	13418
too	too	RB	13344
very	very	RB	12864
're	be	VBP	12606
being	be	VBG	12563
through	through	IN	12274
p	p	NN	12135
really	really	RB	12124
while	while	IN	12098
same	same	JJ	12088
before	before	IN	11805
used	use	VBN	11692
using	use	VBG	11567
since	since	IN	11558
make	make	VB	11512
data	datum	NNS	11428
back	back	RB	11416
much	much	JJ	11342
c	c	NNP	11235
most	most	JJS	11162
most	most	RBS	10961
might	might	MD	10897
do	do	VB	10686
going	go	VBG	10610
during	during	IN	10187
've	have	VBP	10136
says	say	VBZ	10115
another	another	DT	10048
york	york	NNP	10017
so	so	IN	9918
however	however	RB	9894
u	u	NNP	9883
never	never	RB	9831
up	up	RB	9680
number	number	NN	9627
day	day	NN	9596
under	under	IN	9547
why	why	WRB	9415
different	different	JJ	9190
percent	percent	NN	9188
clinton	clinton	NNP	9141
work	work	NN	8926
against	against	IN	8886
something	something	NN	8793
go	go	VB	8760
genes	gene	NNS	8750
us	us	PRP	8678
information	information	NN	8635
around	around	IN	8630
out	out	RP	8609
'd	'd	MD	8493
study	study	NN	8470
part	part	NN	8427
thing	thing	NN	8335
t	t	NN	8300
few	few	JJ	8090
world	world	NN	8045
know	know	VBP	8028
own	own	JJ	8023
expression	expression	NN	8018
life	life	NN	8010
little	little	JJ	7963
without	without	IN	7922
times	time	NNP	7905
take	take	VB	7775
story	story	NN	7705
cell	cell	NN	7654
government	government	NN	7651
'll	'll	MD	7624
know	know	VB	7605
results	result	NNS	7578
least	least	JJS	7557
gene	gene	NN	7495
analysis	analysis	NN	7489
high	high	JJ	7454
case	case	NN	7448
every	every	DT	7441
got	get	VBD	7358
all	all	PDT	7337
figure	figure	NN	7298
patients	patient	NNS	7258
ca	ca	MD	7210
best	best	JJS	7208
must	must	MD	7183
among	among	IN	7155
although	although	IN	7109
use	use	NN	7097
several	several	JJ	7087
things	thing	NNS	6988
state	state	NN	6980
made	make	VBN	6967
small	small	JJ	6963
off	off	RP	6931
though	though	IN	6912
week	week	NN	6904
down	down	RB	6883
whether	whether	IN	6840
system	system	NN	6837
say	say	VB	6832
next	next	JJ	6787
today	today	NN	6768
home	home	NN	6759
family	family	NN	6724
there	there	RB	6720
including	include	VBG	6701
group	group	NN	6662
united	united	NNP	6632
company	company	NN	6615
want	want	VBP	6612
days	day	NNS	6585
point	point	NN	6466
am	be	VBP	6456
again	again	RB	6452
always	alway	RB	6361
until	until	IN	6353
important	important	JJ	6307
once	once	RB	6307
better	better	JJR	6291
end	end	NN	6288
human	human	JJ	6250
place	place	NN	6230
b	b	NNP	6174
money	money	NN	6157
great	great	JJ	6144
example	example	NN	6140
within	within	IN	6100
man	man	NN	6066
old	old	JJ	6043
women	woman	NNS	5952
second	second	JJ	5948
having	have	VBG	5934
ever	ever	RB	5929
protein	protein	NN	5909
children	child	NNS	5907
fact	fact	NN	5900
big	big	JJ	5896
washington	washington	NNP	5889
course	course	NN	5853
american	american	JJ	5841
actually	actually	RB	5817
control	control	NN	5795
right	right	NN	5791
house	house	NNP	5783
site	site	NN	5766
often	often	RB	5745
states	state	NNPS	5732
much	much	RB	5707
program	program	NN	5680
name	name	NN	5677
think	think	VB	5657
given	give	VBN	5630
lot	lot	NN	5622
yet	yet	RB	5613
known	know	VBN	5608
d	d	NNP	5585
possible	possible	JJ	5507
