"subj_code","word","key","rt"
1,"abdominal",1,3245
1,"select",1,3335
1,"grain",4,2612
1,"clothes",5,2500
1,"hepatitis",1,2174
1,"carousel",3,2336
1,"seer",1,2093
1,"reek",1,3116
1,"pamper",1,1856
1,"displeasure",1,2449
1,"country",7,2399
1,"reed",1,1649
1,"misdirect",3,3021
1,"stroganoff",1,2358
1,"lackey",1,3816
1,"fence",2,2449
1,"colander",1,2189
1,"twice",7,2970
2,"coin",3,9141
2,"rep",3,3695
2,"precognition",3,2815
2,"settlement",5,2949
2,"twirl",7,2529
2,"geek",6,2826
2,"pallet",5,4755
2,"ink",5,6550
2,"through",3,3426
2,"infrequent",3,48746
2,"sever",7,2416
2,"panda",2,3091
2,"urn",5,3468
2,"fern",5,2745
2,"lantern",4,4593
2,"disquiet",5,3776
2,"refine",6,2498
2,"wronged",5,2108
2,"platoon",2,2776
4,"threat",2,4301
4,"rotate",1,3921
4,"enhance",3,3148
4,"fell",3,4467
4,"stability",4,2729
4,"koala",2,3022
4,"supper",2,3330
4,"bracelet",3,4140
4,"strainer",2,2753
4,"wreck",5,2736
4,"promote",2,2018
4,"volley",4,3037
4,"lush",5,3242
4,"superstitious",2,3164
4,"catapult",2,4476
4,"engineer",2,2547
4,"separatist",2,3037
6,"clear",3,7867
6,"trident",6,4796
6,"messenger",2,5561
6,"amusement",1,3681
6,"season",2,7029
6,"righteous",2,22093
6,"tiramisu",2,3367
6,"keynote",3,6829
6,"priceless",2,3470
6,"pleat",3,3716
6,"skater",6,5185
6,"elective",1,6183
6,"chute",7,3135
6,"goddess",4,3488
6,"spite",6,3021
6,"clean",7,4552
6,"raze",7,2698
6,"amputate",6,6217
7,"meteor",2,5505
7,"enthuse",2,7817
7,"readable",7,4868
7,"substandard",6,5042
7,"piggy",5,4316
7,"toddle",5,3347
7,"kid",6,3104
7,"splinter",6,5914
7,"seaweed",6,28171
7,"book",4,2793
7,"navigate",2,3718
7,"capability",4,4930
7,"yo-yo",7,3077
7,"trimmer",6,2652
7,"controversy",5,11674
7,"pigeon",4,3971
7,"hearth",2,2711
7,"read",5,3014
7,"fanatical",6,5443
8,"jollify",5,2586
8,"anagram",5,1473
8,"spool",5,1100
8,"maxi",5,1157
8,"cap",5,1140
8,"overburden",5,1246
8,"pig",6,1433
8,"clench",6,1191
8,"priest",4,1546
8,"trim",6,1505
9,"cling",5,9756
9,"pilgrim",2,9594
9,"loophole",3,7936
9,"ripple",5,3200
9,"operative",3,6051
9,"unpleasantness",3,10286
9,"kilt",1,5758
9,"civilized",6,2799
9,"skinhead",3,4486
9,"necklace",6,5426
9,"squeal",7,3763
9,"hoodie",6,2813
9,"worthy",1,4792
9,"cost",3,3414
9,"miniature",6,3798
9,"sensory",2,2631
9,"lumpy",7,3543
9,"apolitical",1,5056
9,"potentiality",1,3153
9,"sensual",5,3681
10,"turning",6,4388
10,"beaker",1,4379
10,"squire",4,3712
10,"dismissive",3,5148
10,"minister",1,4213
10,"paging",1,3398
10,"highlight",1,3178
10,"stodgy",7,14848
10,"append",1,3594
10,"fountain",5,2854
10,"turn",5,3827
10,"prominent",4,81793
10,"stodge",6,3031
10,"voiceless",1,2595
10,"recreation",2,4727
10,"reinstate",1,3502
10,"squint",7,4006
10,"inform",1,2890
10,"founder",1,4612
12,"anyway",1,4325
12,"sensualist",3,8093
12,"unsuitable",1,3094
12,"hoodlum",2,8430
12,"sunspot",1,3533
12,"absurd",2,7697
12,"costly",3,4444
12,"lunar",3,15031
12,"sling",7,3631
12,"cleanser",6,5600
12,"graduate",3,3843
12,"ponderable",1,3572
12,"toxicity",2,3771
12,"robber",5,8604
12,"suggestive",2,2905
12,"incubator",2,2491
12,"clot",2,4515
12,"unreserved",1,3274
12,"discriminative",1,4679
13,"cockpit",2,2819
13,"sloth",1,2691
13,"fellowship",1,2825
13,"evade",5,3869
13,"coerce",5,3205
13,"Dalmatian",1,2582
13,"appeal",1,2072
13,"hospice",5,3067
13,"garter",1,4143
13,"serious",1,2578
13,"hilarity",1,2036
13,"they",1,2273
13,"ponderous",4,4497
13,"graffiti",1,2134
13,"bother",2,3475
13,"knight",1,4287
13,"carnivore",3,2720
13,"anklet",1,2064
13,"indeed",2,5801
13,"receipt",1,3334
14,"reincarnation",5,6201
14,"roaring",6,5180
14,"helping",5,10599
14,"death",6,7350
14,"spout",6,6268
14,"cuckoo",5,7623
14,"fundamental",4,6303
14,"seen",4,3214
14,"claustrophobia",6,3787
14,"ordinarily",3,5284
15,"set",7,3848
15,"bout",3,2496
15,"humanism",5,4581
15,"writing",5,5093
15,"enter",5,3190
15,"evidently",4,3456
15,"thrive",2,3532
15,"stainless",5,8963
15,"fencing",3,4014
15,"cathedral",6,4111
15,"coffee",4,3057
15,"colic",3,4370
16,"defend",5,6759
16,"twelve",6,5198
16,"inhibit",3,3330
16,"displacement",5,4110
16,"countless",6,2751
16,"caterpillar",5,17045
16,"eventually",6,3411
16,"unwilling",6,4038
16,"kinky",3,3206
16,"barley",3,11043
16,"heir",3,3197
16,"middle",5,4085
16,"gospel",2,9884
16,"overlap",6,4413
16,"recommendatory",5,15109
16,"crouton",3,12748
16,"analyse",5,26601
16,"indisputable",2,15697
17,"dam",3,4147
17,"serendipitous",1,7242
17,"gasify",5,3958
17,"gravity",3,12622
17,"tusk",5,6269
17,"redeem",2,4748
17,"appreciable",6,7877
17,"ingenious",5,3750
17,"reminder",6,5966
17,"appear",5,3955
17,"relent",3,4058
17,"disparaging",2,3258
17,"supplement",3,4618
17,"hill",7,3289
17,"bracket",4,5546
17,"apparel",2,4126
17,"deed",2,3467
17,"cockfight",5,3830
17,"trillion",6,3294
17,"plant",7,4226
18,"tipster",5,5473
18,"pliable",6,3251
18,"cinch",5,3819
18,"keyhole",1,2962
18,"oh",7,2716
18,"imperial",2,2879
18,"for",1,3436
18,"yap",7,2891
18,"territory",1,3038
18,"right",7,6391
18,"enrich",5,2714
18,"godfather",1,2565
18,"skeleton",3,2581
18,"mess",2,3414
18,"independent",2,2594
18,"keyboard",3,3750
18,"rig",5,2573
18,"Plexiglas",1,3658
18,"unmeaning",1,3943
18,"tipper",5,2754
19,"propriety",6,3427
19,"defiant",6,1633
19,"madness",7,1892
19,"seventeen",6,1675
19,"misfit",4,1333
19,"refill",6,1824
19,"language",7,2466
19,"preclude",6,2205
19,"stairway",5,2329
19,"throne",5,2901
19,"twin",7,1339
19,"county",5,1520
19,"vowel",7,2803
19,"collaborate",4,1875
19,"framing",5,1617
19,"propose",5,1792
19,"slush",6,1979
19,"gazelle",6,1869
19,"ferment",5,2418
19,"pancake",5,3480
20,"magical",4,1627
20,"excepting",4,1452
20,"arbitrate",4,1085
20,"wacky",6,1746
20,"approach",5,1346
20,"shadowy",3,1388
20,"large",6,2866
20,"panic",5,1527
20,"accurate",6,1217
20,"nose",5,1486
20,"brainless",5,1272
20,"settler",5,1135
20,"inmate",6,1539
20,"stupefy",4,2436
20,"smack",6,2638
20,"magic",5,1441
20,"preconceive",3,1388
20,"infuriating",4,1176
20,"caution",5,1412
20,"throw",6,1305
21,"cite",1,4488
21,"riot",5,2554
21,"secondary",2,2798
21,"Frisbee",5,4923
21,"heatstroke",5,3584
21,"yucky",7,3664
21,"prime",6,3151
21,"impossible",1,6571
21,"unparalleled",3,3519
21,"killer",5,8779
21,"trip",1,2811
21,"convey",5,2547
21,"bookmark",1,3420
21,"methane",5,2539
21,"fantastic",2,3042
21,"crick",5,2133
21,"textbook",2,2502
21,"oom-pah",6,2756
21,"analyze",2,5210
21,"second",2,2707
22,"disconcert",2,8490
22,"blamable",1,4004
22,"kingdom",5,8052
22,"carbonate",3,4479
22,"needle",5,4707
22,"unprofessional",3,4570
22,"podium",2,6232
22,"foreskin",1,4429
22,"trooper",5,15368
22,"eloquent",6,4800
22,"need",5,7300
22,"woman",4,7016
22,"risky",5,10881
22,"lord",5,5477
22,"juncture",1,7069
23,"text",5,2812
23,"important",6,3200
23,"ringworm",5,3256
23,"heat",5,2506
23,"yowl",6,2811
23,"oodles",5,3165
23,"convert",5,2985
23,"unorthodox",5,2506
23,"trio",6,3092
23,"dashing",4,2639
23,"crevasse",5,2501
23,"forecast",5,2667
23,"ringmaster",6,2572
23,"mayo",3,3368
23,"enthusiastic",3,2773
23,"vibrate",5,2958
23,"capacity",3,4520
23,"amiable",3,2759
23,"secluded",5,4980
24,"beastly",4,6216
24,"inflammation",1,2600
24,"female",7,4867
24,"triviality",1,5093
24,"brainwash",4,5883
24,"default",2,2576
24,"accommodating",4,3593
24,"suppose",3,3472
24,"wretched",3,2956
24,"server",7,4290
24,"beast",6,5092
24,"redhead",7,3068
24,"la",7,3383
24,"prop",4,4229
24,"accommodate",2,2585
24,"damnable",6,2759
24,"threw",5,3230
24,"strew",5,2603
24,"cog",6,3616
24,"enormous",1,2636
25,"turnout",4,5224
